ID,Name,Country,Events_2025,Total_Heats,Tours
7203,Milo Miguez,Spain,1,0,MQS
9901,Miranda Leon,Spain,1,2,WJUN
5133,Miriam Imaz Juaristi,Spain,0,0,
7580,Miriam Polo,Spain,1,1,WJUN
2037,Mirka Martin Solar,Spain,1,0,WQS
4470,Mirko Ivan Manduca,Spain,2,2,"MQS, MJUN"
6551,Mitxel Lopez,Spain,0,0,
13720,Mitxel Lopez De La Guerra,Spain,0,0,
12376,Moises Dominguez Requena,Spain,4,10,"MQS, MJUN"
15964,Moisés Requena,Canary Islands,0,0,
18482,Monica Lamas,Spain,0,0,
358,Myriam Imaz,Spain,0,0,
8543,Nacho Cienfuegos,Spain,0,0,
7181,Nacho Mato,Spain,1,0,MQS
9222,Nacho Roman,Canary Islands,2,3,MJUN
4453,Nacho sanchis,Spain,4,4,"MQS, MJUN"
12401,Nacho Sebastia,Canary Islands,1,3,MQS
7288,Nadia Erostarbe,Basque Country,19,52,"WCT, WJUN, WCS, WQS"
7653,Nahir Insaurralde,Spain,1,1,WJUN
4473,Nahir Manduca,Spain,1,1,WJUN
16080,Nahuel Garcia,Spain,2,3,"MQS, MJUN"
19232,Naia Zaldegui,Basque Country,0,0,
19233,Naia Zaldegui Zapata,Basque Country,1,2,WLT
20517,Naia Zapata,Spain,0,0,
5530,Natxo Averalo Aguirre,Canary Islands,0,0,
2646,Natxo Gonzalez,Basque Country,9,31,"MQS, MJUN, MBWT"
10518,Nerea Donaire,Spain,2,4,"WJUN, WQS"
10101,Nestor Garcia,Spain,7,18,"MQS, MJUN"
8547,Nestor Urbieta,Basque Country,0,0,
5532,Nicholas Aguirre Arevalo,Canary Islands,0,0,
7710,Nico Aguirre,Canary Islands,1,0,MJUN
1877,Nico Kalli,Canary Islands,0,0,
6588,Nico PeÃ±a,Spain,0,0,
5536,Nicolas Aguirre Arevalo,Canary Islands,0,0,
17316,Nicolás Andrade,Spain,2,4,MLT
15669,Nicolas Garcia Garcia,Spain,0,0,
7182,Nicolas Giacomucci,Spain,1,2,MQS
15967,Nicolas Montero Irizar,Spain,1,1,MJUN
6590,Nicolás Pérez,Spain,0,0,
3674,Noa Iturripea,Basque Country,5,6,"WJUN, WQS"
9439,Noah Diaz,Canary Islands,0,0,
14741,Noah Hecht Suarez,Spain,2,3,MJUN
7167,Noive Ceballos,Spain,7,9,"MQS, WJUN, WQS"
9269,Noive Ceballos,Spain,0,0,
16052,Noor Mentado Requena,Canary Islands,3,4,WJUN
18600,Nora Alvarez,Basque Country,1,1,WJUN
9275,Norman Landa,Spain,0,0,
1633,Norman Landa,Basque Country,2,2,MQS
1313,Oier Illarramendi,Basque Country,0,0,
8559,Oier Iribar,Basque Country,0,0,
7656,Oihan Aizpuru,Basque Country,1,2,MJUN
20201,Oihane GoÑi,Basque Country,1,2,WJUN
20352,Oinatz Alonso,Basque Country,0,0,
20353,Oinatz Ortega,Basque Country,1,6,MJUN
7532,Olga Bacallado,Canary Islands,1,1,WJUN
9457,Oliver Mendez,Spain,1,1,MQS
17484,Oxel Oregi Cortes,Basque Country,1,2,MJUN
4289,Pablo Azpiroz,Spain,3,4,MJUN
6610,Pablo Cabezuelo,Spain,0,0,
7210,Pablo Exposito,Spain,1,0,MQS
7502,Pablo Fernandez,Spain,1,2,MJUN
14691,Pablo Gomez Perez,Spain,0,0,
13982,Pablo Gorgojo,Spain,1,1,MJUN
642,Pablo Gutierrez,Spain,2,4,MQS
6611,Pablo Marcos,Spain,0,0,
6612,Pablo Miraz,Spain,1,0,MQS
751,Pablo Montero,Spain,1,1,MQS
15935,Pablo Perez,Spain,2,5,MJUN
1640,Pablo Rodriguez,Spain,0,0,
2894,Pablo Romero,Spain,0,0,
673,Pablo Solar,Spain,1,1,MQS
20543,Pablo Solloso,Spain,0,0,
10530,Paolo Giorgi,Canary Islands,2,6,"MQS, MJUN"
7292,Patrick Mainstone,Spain,5,6,MJUN
15963,Paula Fernandez Junyent,Spain,0,0,
4267,Paula Fraga,Spain,5,4,"MQS, WJUN"
17468,Paula Liria,Canary Islands,1,1,WJUN
10500,Paula Martino,Spain,1,1,WJUN
12615,Paula Nieto,Spain,2,3,"WJUN, WQS"
16106,Paula Quintela,Spain,1,1,WJUN
17305,Paula Villalpando,Basque Country,0,0,
2158,Pedro Berasaluze,Spain,3,4,MQS
761,Pelayo Suarez,Spain,0,0,
13368,Pelayo Suarez,Spain,6,9,"MQS, MJUN"
10462,Pepe Fernández,Spain,2,4,MJUN
13395,Pepe Pérez-Arellano,Spain,0,0,
12611,Peru Zuniga,Basque Country,3,8,"MQS, MJUN"
1624,Pico Eider,Spain,0,0,
760,Pipo Dominguez,Spain,0,0,
6654,Rafael Do Pico,Spain,0,0,
7529,Rafael Dopico,Spain,1,1,MQS
2217,Rafael Juan Moreno Martin,Canary Islands,0,0,
6660,Ramon Perez,Spain,1,1,MLT
13741,Raul Garcia,Spain,0,0,
5665,Raul Garcia,Spain,0,0,
7544,Raul Hans Werth Lorenzo,Spain,1,1,MJUN
4456,Rey Maravillas,Spain,2,2,WJUN
5161,Reyes Rodri­guez,Spain,0,0,
7545,Ric Leon Herz,Spain,1,2,MJUN
7711,Ric Leon Herz,Spain,1,0,MJUN
11397,Ricardo De La Hera Suarez,Spain,3,7,"MQS, MJUN"
9330,Ricardo Diego,Spain,2,5,MJUN
6676,Ricardo Fernandez,Spain,0,0,
3805,Roberto Alvarez Junquera,Spain,1,1,MQS
13385,Roberto Letemendia,Spain,4,8,"MQS, MJUN"
10372,Rodrigo Garcia,Spain,2,3,MJUN
13238,Rohan Salceda,Spain,2,2,MJUN
15671,Roman Gonzae,Spain,0,0,
14950,Ronald Jose Arenas,Spain,1,1,MQS
3334,Ruben Gonzalez Garcia,Canary Islands,0,0,
4272,Ruben Vitoria,Basque Country,13,31,"MQS, MJUN, MCS"
16642,Saioa Ortega,Basque Country,4,7,"WJUN, WQS"
17297,Saion Borelli Luzarreta,Spain,2,3,MJUN
18109,Saion Luzarreta,Spain,0,0,
3770,Salaberria Usandizaga,Basque Country,1,1,MJUN
3577,Samuel Bahillo,Spain,1,1,MJUN
2227,Samuel Lopez Del Pino,Canary Islands,0,0,
17078,Samuel Martinez,Spain,0,0,
7211,Santiago Salgado,Spain,1,0,MQS
20466,Sara Romeo,Spain,0,0,
